file,7_dLN_TRP2.p,3_Sp_T_TRP2.p,2_Sp_Con_TRP2.p,6_dLN_SIY.p,5_TILS_SIY.p,4_Sp_T_SIYI.p,1_Sp_Con_SIY.p
7_dLN_TRP2.p,1.720355758385311e-18,4.847728684706384e-12,1.2436422568812844e-12,2.0878770763756776e-15,2.410722055334562e-13,1.1973428000932426e-12,1.1950193557339027e-17
3_Sp_T_TRP2.p,2.673236438344177e-12,5.913260395149808e-19,3.3529245330513144e-12,1.3430121367111768e-12,7.829069642355482e-13,7.549964419315004e-13,1.319178334903367e-12
2_Sp_Con_TRP2.p,7.34201169964519e-13,3.5705271457928896e-12,6.210850393835101e-19,4.679433473597299e-20,1.0023583322326305e-14,2.0719028096688983e-19,7.021299416095423e-13
6_dLN_SIY.p,5.098457492002522e-15,1.5916420947734364e-11,2.588923463038105e-20,8.643029203779331e-17,1.6577801464314257e-10,1.9849225067403497e-10,1.6587886213689436e-10
5_TILS_SIY.p,4.536395386716528e-13,2.7890782581657766e-12,2.2883009123658428e-14,5.122534172025851e-11,8.191184311102813e-18,7.06707561811603e-11,4.8770551780775e-11
4_Sp_T_SIYI.p,6.960065770492748e-12,7.6890789586147e-12,1.674843834483955e-19,1.7519177904825548e-10,2.0189927572930152e-10,6.879563511977067e-17,2.088816149050377e-10
1_Sp_Con_SIY.p,1.7228435858440905e-17,2.2847545338796298e-11,1.1422012658406153e-11,2.401749129830133e-10,2.2857769165759134e-10,3.427602422342041e-10,1.722147076700207e-16
