file,7_dLN_TRP2.p,3_Sp_T_TRP2.p,2_Sp_Con_TRP2.p,6_dLN_SIY.p,5_TILS_SIY.p,4_Sp_T_SIYI.p,1_Sp_Con_SIY.p
7_dLN_TRP2.p,44744258497.97584,108.4291841640499,247.48910966306264,339.5411328341256,339.6118694554965,55.166643486273024,399.5477322707313
3_Sp_T_TRP2.p,1218945.788958213,9.235405202204364e+19,4298362.443548067,1756370.6019162866,667812.3174545357,2379367.114354169,308556.7879571634
2_Sp_Con_TRP2.p,212442.26730909527,295382.25305640267,8.781171449224387e+16,48331.30562522222,46241.373968368855,42.10207444712438,52668.596125871474
6_dLN_SIY.p,649968.9578695601,278216.17115473223,111237.66727752078,6.460558773303793e+17,8158123.043095815,22281311.147788048,12683377.071755195
5_TILS_SIY.p,1331391.991634755,225051.30683027947,223941.50701337654,17176129.144048207,2.03174775633112e+18,32662534.048492175,16037931.032877091
4_Sp_T_SIYI.p,14580.939735733456,50223.62036997397,21.126930739835466,2970957.755809218,2085479.1646931742,2938719303137208.5,2482152.6960332803
1_Sp_Con_SIY.p,229424.81183209634,14610.05839417801,35091.11649388677,3668228.9500210583,2206374.7565533817,5382704.581324954,2.267438693735e+16
