file,7_dLN_TRP2.p,3_Sp_T_TRP2.p,2_Sp_Con_TRP2.p,6_dLN_SIY.p,5_TILS_SIY.p,4_Sp_T_SIYI.p,1_Sp_Con_SIY.p
7_dLN_TRP2.p,2.16299854937291e-18,4.648369395209359e-13,3.185632378946025e-14,1.454409465651109e-15,4.586747117605407e-17,7.479576417134815e-16,2.560035081770445e-12
3_Sp_T_TRP2.p,2.2342921812792746e-13,3.476099999322488e-19,1.5810027964892888e-13,1.904052118620713e-15,5.634921663136089e-13,3.644674201365887e-15,1.1181401832204974e-13
2_Sp_Con_TRP2.p,1.717802010603441e-14,1.5692296892975128e-13,3.3510003796597626e-19,7.986367522559218e-17,6.678515641399879e-17,8.495540006916726e-15,8.143874325795687e-15
6_dLN_SIY.p,1.7309155378215915e-15,3.922207953419817e-15,1.2399674863994142e-16,3.9206117947378255e-18,1.6612402183363264e-13,2.1379577539244663e-11,1.7743399243264692e-11
5_TILS_SIY.p,4.4138495164002784e-17,1.169022197456576e-12,8.892540092567574e-17,1.209431002182692e-13,1.6918466773479475e-18,1.9799652198714502e-14,6.938772920568879e-14
4_Sp_T_SIYI.p,1.4662562370835205e-15,1.4441770781170587e-14,4.2344068477601035e-14,6.354858496139907e-11,5.344279766215358e-14,3.039379277270421e-17,4.646544085210564e-13
1_Sp_Con_SIY.p,1.0126517051161315e-11,7.303431571450438e-13,3.924010023078187e-14,5.084558803551154e-11,1.916146122644075e-13,4.5358713605880964e-13,3.178984409608463e-17
