file,7_dLN_TRP2.p,3_Sp_T_TRP2.p,2_Sp_Con_TRP2.p,6_dLN_SIY.p,5_TILS_SIY.p,4_Sp_T_SIYI.p,1_Sp_Con_SIY.p
7_dLN_TRP2.p,7.506176708600136e-16,2.4726088087108702e-12,1.5784130076542404e-13,1.4757921855661916e-11,1.707745737522669e-11,7.893394679857761e-15,2.4927576776844457e-11
3_Sp_T_TRP2.p,1.9489258648635443e-10,2.5561045451337044e-10,1.013843501921836e-10,3.4488967092038694e-11,4.067905383063359e-11,9.12028370180953e-17,5.204120114673618e-11
2_Sp_Con_TRP2.p,3.2272506170622795e-12,6.715345048829248e-11,1.9659867770302747e-11,5.710930839696302e-13,6.64935199409559e-13,1.4547191552605843e-16,8.619283761781964e-13
6_dLN_SIY.p,1.9707836179749865e-08,1.0594606743094334e-10,1.582765788704253e-12,1.4561901142283194e-09,4.18940595304624e-09,2.450248020013237e-07,1.3147615914636266e-07
5_TILS_SIY.p,5.525101058443352e-09,4.5234756733109395e-11,9.412931910539194e-13,1.0529259981753853e-09,8.386849525157863e-11,6.091055704249501e-12,1.5454826780214078e-09
4_Sp_T_SIYI.p,1.1937587817807048e-13,9.000399028170577e-17,1.4569568588376631e-16,3.206775840329103e-08,4.3171106209879e-12,1.1593902275248545e-11,7.75525713880888e-11
1_Sp_Con_SIY.p,2.7694818226224836e-09,2.6322411335553404e-11,7.044737477134248e-13,1.0892933636143259e-08,5.448668279026367e-10,6.101905579057327e-11,4.795239788315384e-12
