file,7_dLN_TRP2,3_Sp_T_TRP2,2_Sp_Con_TRP2,6_dLN_SIY,5_TILS_SIY,4_Sp_T_SIYI,1_Sp_Con_SIY
7_dLN_TRP2,nan,0.7299419461044886,0.5495051407521104,0.6533079607374778,0.7913526753544997,0.4934910023076073,0.7210489320061845
3_Sp_T_TRP2,0.7299419461044886,nan,0.6849230575907687,0.6930961535515564,0.704131568030652,0.6449236612030345,0.43863089921628834
2_Sp_Con_TRP2,0.5495051407521104,0.6849230575907687,nan,0.5724067356908011,0.9438857276117056,0.5973084256689398,0.8012008363534767
6_dLN_SIY,0.6533079607374778,0.6930961535515564,0.5724067356908011,nan,0.7316670021898956,0.5033214866119289,0.4897636791665101
5_TILS_SIY,0.7913526753544997,0.704131568030652,0.9438857276117056,0.7316670021898956,nan,0.41664031098298937,0.49264119442475307
4_Sp_T_SIYI,0.4934910023076073,0.6449236612030345,0.5973084256689398,0.5033214866119289,0.41664031098298937,nan,0.3208158064520898
1_Sp_Con_SIY,0.7210489320061845,0.43863089921628834,0.8012008363534767,0.4897636791665101,0.49264119442475307,0.3208158064520898,nan
