file,7_dLN_TRP2.p,3_Sp_T_TRP2.p,2_Sp_Con_TRP2.p,6_dLN_SIY.p,5_TILS_SIY.p,4_Sp_T_SIYI.p,1_Sp_Con_SIY.p
7_dLN_TRP2.p,4.79788787491398e-16,2.161664936863382e-11,9.539023899562037e-12,1.711216279659077e-14,6.635721983785895e-12,4.462383640897404e-14,1.2093990967653891e-11
3_Sp_T_TRP2.p,2.813931527805219e-08,1.3519682284775786e-09,1.4891212288702346e-08,6.537985211855358e-11,1.0000470994841382e-08,1.4040187505921303e-09,1.5111829037447682e-08
2_Sp_Con_TRP2.p,9.03481446290984e-10,1.0838974070406536e-09,4.370823758385033e-12,4.3686768241399495e-13,3.2109323941246466e-10,1.758273610401793e-18,4.852762303007502e-10
6_dLN_SIY.p,3.805646573669502e-13,2.185582921545036e-11,9.62019562311681e-13,3.326996922218286e-11,5.7420500142411816e-08,7.57217549945549e-08,3.61242248613375e-08
5_TILS_SIY.p,1.586640874420998e-08,1.8854942001185727e-08,8.316665026938432e-09,4.402962148815698e-07,7.220479569762283e-09,2.572774189910419e-06,5.739210626312054e-07
4_Sp_T_SIYI.p,8.818638497252005e-13,9.899155343648626e-11,1.79605160724441e-18,2.0332431434479957e-08,9.010591489646455e-08,1.19793462139904e-12,2.8957419604725313e-08
1_Sp_Con_SIY.p,3.4649466972109255e-09,3.3256932997858083e-09,1.4670966716274492e-09,3.233242266487023e-08,6.699384459115875e-08,9.647333996620644e-08,1.9628413438915106e-11
